Price inr,Year,Kilometer,Engine,Length,Width,Height,Fuel Tank Capacity,Max_Power,Max_Torque,priceUSD,0.012
49000,2010,60000,624,3099,1495,1652,15,35,48,588,0.012
120000,2009,48500,1086,3565,1525,1590,35,63,89,1440,
130000,2009,59000,1086,3565,1595,1550,35,67,99,1560,
135000,2008,72542,1061,3495,1495,1595,35,64,84,1620,
140000,2009,65000,796,3495,1475,1460,35,47,62,1680,
141000,2009,56400,1086,3565,1525,1590,35,62,96,1692,
145000,2009,72000,1086,3565,1525,1590,35,62,96,1740,
145000,2009,39586,1061,3520,1475,1690,35,67,84,1740,
145000,2009,88000,1399,4145,1632,1440,43,68,160,1740,
150000,2011,65000,796,3495,1475,1460,35,47,62,1800,
150000,2008,62000,1086,3565,1595,1550,35,67,99,1800,
155000,2009,56852,796,3495,1475,1460,35,39,54,1860,
155000,2011,90342,796,3495,1475,1460,35,39,54,1860,
160000,2011,72000,998,3545,1490,1475,35,67,90,1920,
160000,2008,50000,1061,3520,1475,1690,35,67,84,1920,
160000,2008,90000,2494,4555,1770,1755,55,102,200,1920,
169000,2010,18500,796,3495,1475,1460,35,47,62,2028,
170000,2009,135797,1086,3565,1595,1550,35,67,99,2040,
175000,2009,65000,1086,3565,1595,1550,35,67,99,2100,
175000,2009,23000,1086,3565,1595,1550,35,67,99,2100,
175000,2008,65000,1248,3995,1695,1555,42,74,190,2100,
178000,2007,85000,1086,3565,1525,1590,35,63,89,2136,
180000,2014,48000,796,3395,1490,1475,35,47,69,2160,
185000,2012,55700,814,3495,1550,1500,32,56,75,2220,
185000,2012,37000,998,3620,1475,1460,35,67,90,2220,
185000,2010,64000,1586,4490,1735,1560,50,102,145,2220,
189000,2008,19759,796,3495,1475,1460,35,47,62,2268,
190000,2013,63000,814,3495,1550,1500,32,56,75,2280,
190000,2013,66000,995,3495,1495,1518,38,62,90,2280,
190000,2006,130000,1799,4545,1750,1450,50,130,171.62,2280,
195000,2009,102000,1061,3520,1475,1660,35,58,77,2340,
195000,2010,32000,1198,3900,1695,1535,42,89,110,2340,
198000,2017,24000,999,3429,1560,1541,28,67,91,2376,
199000,2011,192326,2179,4421,1780,1940,65,120,250,2388,
200000,2008,41000,796,3495,1475,1460,35,47,62,2400,
200000,2013,57000,1086,3565,1525,1590,35,62,96,2400,
200000,2011,51000,998,3620,1475,1460,35,67,90,2400,
200000,2014,56000,1120,3995,1660,1520,43,71,180,2400,
210000,2014,42505,796,3395,1490,1475,35,47,69,2520,
210000,2014,48000,814,3495,1550,1500,32,55,75,2520,
215000,2012,20000,814,3495,1550,1500,32,55,75,2580,
218000,2008,51000,1061,3520,1475,1690,35,67,84,2616,
